Date,City,State,AreaType,School,Fatalities,Wounded,Month,Day of Week,Region,Severity
9/29/2006,Cazenovia,Wisconsin,rural,HS,1,0,September,Friday,Midwest,Low
10/2/2006,Nickel Mines,Pennsylvania,rural,HS,5,Unknown,October,Monday,Northeast,Medium
10/2/2006,Nickel Mines,Pennsylvania,rural,HS,6,3,October,Monday,Northeast,High
10/9/2006,Joplin,Missouri,urban,MS,0,Unknown,October,Monday,Midwest,Low
10/9/2006,Joplin,Missouri,urban,MS,0,0,October,Monday,Midwest,Low
10/17/2006,Katy,Texas,suburban,HS,1,Unknown,October,Tuesday,South,Low
10/29/2006,Fresno,California,urban,ES,1,Unknown,October,Sunday,West,Low
11/28/2006,Houston,Texas,urban,HS,1,Unknown,November,Tuesday,South,Low
12/12/2006,Erdenheim,Pennsylvania,rural,MS,1,Unknown,December,Tuesday,Northeast,Low
1/3/2007,Tacoma,Washington,urban,HS,1,Unknown,January,Wednesday,West,Low
1/3/2007,Tacoma,Washington,urban,HS,1,0,January,Wednesday,West,Low
2/8/2007,Prineville,Oregon,suburban,HS,1,Unknown,February,Thursday,West,Low
3/7/2007,Midland,Michigan,urban,HS,0,Unknown,March,Wednesday,Midwest,Low
3/7/2007,Greenville,Texas,suburban,HS,0,Unknown,March,Wednesday,South,Low
3/7/2007,Compton,California,urban,HS,0,1,March,Wednesday,West,Low
3/24/2007,Greensboro,North Carolina,urban,C,0,Unknown,March,Saturday,South,Low
4/2/2007,Seattle,Washington,urban,C,1,Unknown,April,Monday,West,Low
4/10/2007,Gresham,Oregon,urban,HS,0,Unknown,April,Tuesday,West,Low
4/16/2007,Blacksburg,Virginia,urban,C,32,Unknown,April,Monday,South,High
4/16/2007,Blacksburg,Virginia,urban,C,33,23,April,Monday,South,High
9/21/2007,Dover,Delaware,urban,C,1,Unknown,September,Friday,South,Low
9/28/2007,Oroville,California,suburban,HS,0,Unknown,September,Friday,West,Low
9/30/2007,Memphis,Tennessee,urban,C,1,Unknown,September,Sunday,South,Low
10/10/2007,Cleveland,Ohio,urban,HS,0,Unknown,October,Wednesday,Midwest,Low
10/10/2007,Cleveland,Ohio,urban,HS,1,4,October,Wednesday,Midwest,Medium
11/6/2007,Miami Gardens,Florida,urban,HS,0,1,November,Tuesday,South,Low
1/15/2008,Putnam City,Oklahoma,suburban,HS,0,Unknown,January,Tuesday,South,Low
1/16/2008,Cleveland,Ohio,urban,HS,0,Unknown,January,Wednesday,Midwest,Low
1/16/2008,Charlotte,North Carolina,urban,HS,0,Unknown,January,Wednesday,South,Low
2/4/2008,Memphis,Tennessee,urban,HS,0,Unknown,February,Monday,South,Low
2/4/2008,Memphis,Tennessee,urban,HS,0,1,February,Monday,South,Low
2/7/2008,Portsmouth,Ohio,suburban,ES,0,Unknown,February,Thursday,Midwest,Low
2/8/2008,Baton Rouge,Louisiana,urban,C,3,Unknown,February,Friday,South,Medium
2/8/2008,Baton Rouge,Louisiana,urban,C,3,0,February,Friday,South,Medium
2/11/2008,Memphis,Tennessee,urban,HS,0,Unknown,February,Monday,South,Low
2/11/2008,Memphis,Tennessee,urban,HS,0,1,February,Monday,South,Low
2/12/2008,Oxnard,California,urban,MS,1,Unknown,February,Tuesday,West,Low
2/12/2008,Oxnard,California,urban,HS,1,0,February,Tuesday,West,Low
2/14/2008,DeKalb,Illinois,urban,C,5,Unknown,February,Thursday,Midwest,Medium
2/14/2008,DeKalb,Illinois,suburban,C,6,21,February,Thursday,Midwest,High
2/23/2008,Jonesboro,Arkansas,urban,C,0,Unknown,February,Saturday,South,Low
2/27/2008,Little Rock,Arkansas,urban,C,0,Unknown,February,Wednesday,South,Low
2/28/2008,Miami Gardens,Florida,urban,HS,0,Unknown,February,Thursday,South,Low
3/6/2008,Mobile,Alabama,urban,HS,1,Unknown,March,Thursday,South,Low
3/7/2008,Chicago,Illinois,urban,HS,1,Unknown,March,Friday,Midwest,Low
4/5/2008,Chicago,Illinois,urban,HS,1,Unknown,April,Saturday,Midwest,Low
4/16/2008,Fresno,California,urban,HS,1,Unknown,April,Wednesday,West,Low
4/24/2008,Omaha,Nebraska,urban,MS,0,Unknown,April,Thursday,Midwest,Low
4/29/2008,Washington,District of Columbia,urban,C,0,Unknown,April,Tuesday,South,Low
7/24/2008,Phoenix,Arizona,urban,C,0,Unknown,July,Thursday,West,Low
8/14/2008,Federal Way,Washington,urban,MS,1,Unknown,August,Thursday,West,Low
8/14/2008,Federal Way,Washington,suburban,MS,1,0,August,Thursday,West,Low
8/21/2008,Knoxville,Tennessee,urban,HS,1,Unknown,August,Thursday,South,Low
8/21/2008,Knoxville,Tennessee,urban,HS,1,0,August,Thursday,South,Low
8/29/2008,Portland,Oregon,urban,HS,0,Unknown,August,Friday,West,Low
9/2/2008,Willoughby,Ohio,suburban,HS,0,Unknown,September,Tuesday,Midwest,Low
9/2/2008,Willoughby,Ohio,suburban,HS,0,0,September,Tuesday,Midwest,Low
10/13/2008,San Antonio,Texas,urban,C,1,Unknown,October,Monday,South,Low
10/16/2008,Detroit,Michigan,urban,HS,1,Unknown,October,Thursday,Midwest,Low
10/16/2008,Detroit,Michigan,urban,HS,1,3,October,Thursday,Midwest,Medium
10/20/2008,Acton,California,suburban,HS,1,Unknown,October,Monday,West,Low
10/21/2008,Indianapolis,Indiana,urban,HS,1,Unknown,October,Tuesday,Midwest,Low
10/26/2008,Conway,Arkansas,urban,C,2,Unknown,October,Sunday,South,Low
10/26/2008,Conway,Arkansas,suburban,C,2,1,October,Sunday,South,Medium
10/31/2008,Stockton Springs,Maine,rural,ES,0,Unknown,October,Friday,Northeast,Low
11/12/2008,Fort Lauderdale,Florida,urban,HS,1,Unknown,November,Wednesday,South,Low
11/13/2008,Fort Lauderdale,Florida,urban,HS,1,0,November,Thursday,South,Low
11/15/2008,St. George,Utah,urban,HS,1,Unknown,November,Saturday,West,Low
11/21/2008,Savannah,Georgia,urban,C,0,Unknown,November,Friday,South,Low
1/8/2009,New Castle,Delaware,suburban,HS,0,Unknown,January,Thursday,South,Low
1/9/2009,Chicago,Illinois,urban,HS,0,Unknown,January,Friday,Midwest,Low
1/9/2009,Chicago,Illinois,urban,HS,0,5,January,Friday,Midwest,Medium
1/23/2009,Cahokia,Illinois,suburban,HS,1,Unknown,January,Friday,Midwest,Low
2/7/2009,Houston,Texas,urban,C,1,Unknown,February,Saturday,South,Low
2/11/2009,El Monte,California,urban,ES,0,Unknown,February,Wednesday,West,Low
2/17/2009,Detroit,Michigan,urban,HS,0,Unknown,February,Tuesday,Midwest,Low
3/6/2009,Fayetteville,North Carolina,urban,HS,0,Unknown,March,Friday,South,Low
3/10/2009,Jacksonville,Florida,urban,HS,2,Unknown,March,Tuesday,South,Low
4/10/2009,Dearborn,Michigan,urban,C,1,Unknown,April,Friday,Midwest,Low
4/24/2009,Houston,Texas,urban,C,1,Unknown,April,Friday,South,Low
4/26/2009,Hampton,Virginia,urban,C,0,Unknown,April,Sunday,South,Low
4/26/2009,Hampton,Virginia,urban,C,0,3,April,Sunday,South,Medium
5/1/2009,Sheboygan,Wisconsin,urban,HS,0,Unknown,May,Friday,Midwest,Low
5/5/2009,Canandaigua,New York,suburban,HS,0,Unknown,May,Tuesday,Northeast,Low
5/18/2009,Larose,Louisiana,suburban,MS,0,Unknown,May,Monday,South,Low
5/18/2009,Cambridge,Massachusetts,urban,C,1,Unknown,May,Monday,Northeast,Low
5/18/2009,Cambridge,Massachusetts,urban,C,1,0,May,Monday,Northeast,Low
5/18/2009,Larose,Louisiana,rural,MS,1,0,May,Monday,South,Low
6/9/2009,Lexington,Kentucky,urban,MS,1,Unknown,June,Tuesday,South,Low
6/16/2009,San Francisco,California,urban,HS,0,Unknown,June,Tuesday,West,Low
6/16/2009,San Francisco,California,urban,HS,0,3,June,Tuesday,West,Medium
6/24/2009,Parkersburg,Iowa,rural,HS,1,Unknown,June,Wednesday,Midwest,Low
9/2/2009,San Bruno,California,suburban,C,0,Unknown,September,Wednesday,West,Low
9/3/2009,Atlanta,Georgia,urban,C,1,Unknown,September,Thursday,South,Low
9/3/2009,San Bruno,California,suburban,C,0,1,September,Thursday,West,Low
9/8/2009,Stamford,Connecticut,urban,HS,0,Unknown,September,Tuesday,Northeast,Low
9/14/2009,Grand Rapids,Michigan,urban,HS,0,Unknown,September,Monday,Midwest,Low
9/16/2009,Henrico,Virginia,urban,HS,0,Unknown,September,Wednesday,South,Low
10/16/2009,Carolina Forest,South Carolina,suburban,HS,1,Unknown,October,Friday,South,Low
10/16/2009,Conway,South Carolina,suburban,HS,1,0,October,Friday,South,Low
10/30/2009,Long Beach,California,urban,HS,1,Unknown,October,Friday,West,Low
11/16/2009,Dallas,Texas,urban,ES,0,Unknown,November,Monday,South,Low
12/2/2009,Brockton,Massachusetts,urban,HS,0,Unknown,December,Wednesday,Northeast,Low
12/8/2009,Woodbridge,Virginia,urban,C,0,Unknown,December,Tuesday,South,Low
12/11/2009,Shreveport,Louisiana,urban,HS,0,Unknown,December,Friday,South,Low
1/7/2010,Phoenix,Arizona,urban,HS,0,Unknown,January,Thursday,West,Low
1/20/2010,Livingston,Alabama,suburban,HS,1,Unknown,January,Wednesday,South,Low
2/5/2010,Madison,Alabama,suburban,MS,1,Unknown,February,Friday,South,Low
2/5/2010,Madison,Alabama,suburban,MS,1,0,February,Friday,South,Low
2/10/2010,Knoxville,Tennessee,urban,ES,0,Unknown,February,Wednesday,South,Low
2/12/2010,Huntsville,Alabama,urban,C,3,Unknown,February,Friday,South,Medium
2/12/2010,Huntsville,Alabama,urban,C,3,3,February,Friday,South,High
2/19/2010,DeKalb,Illinois,urban,C,0,Unknown,February,Friday,Midwest,Low
2/19/2010,DeKalb,Illinois,suburban,C,0,1,February,Friday,Midwest,Low
2/23/2010,Littleton,Colorado,suburban,MS,0,Unknown,February,Tuesday,West,Low
2/23/2010,Littleton,Colorado,suburban,MS,0,2,February,Tuesday,West,Low
2/26/2010,Tacoma,Washington,urban,ES,2,Unknown,February,Friday,West,Low
3/9/2010,Columbus,Ohio,urban,C,1,Unknown,March,Tuesday,Midwest,Low
3/9/2010,Columbus,Ohio,urban,C,1,1,March,Tuesday,Midwest,Low
4/29/2010,Portsmouth,Virginia,urban,HS,0,Unknown,April,Thursday,South,Low
5/18/2010,South Gate,California,urban,HS,0,Unknown,May,Tuesday,West,Low
8/31/2010,Blountville,Tennessee,suburban,HS,1,Unknown,August,Tuesday,South,Low
9/7/2010,Detroit,Michigan,urban,HS,0,Unknown,September,Tuesday,Midwest,Low
9/8/2010,Detroit,Michigan,urban,HS,0,2,September,Wednesday,Midwest,Low
9/16/2010,Moss Bluff,Louisiana,suburban,MS,1,Unknown,September,Thursday,South,Low
9/21/2010,Columbia,South Carolina,urban,HS,0,Unknown,September,Tuesday,South,Low
9/28/2010,Austin,Texas,urban,C,1,Unknown,September,Tuesday,South,Low
9/28/2010,Austin,Texas,urban,C,1,0,September,Tuesday,South,Low
10/1/2010,Salinas,California,urban,HS,1,Unknown,October,Friday,West,Low
10/1/2010,Salinas,California,urban,HS,1,0,October,Friday,West,Low
10/3/2010,Elizabeth City,North Carolina,suburban,C,1,Unknown,October,Sunday,South,Low
10/8/2010,Carlsbad,California,urban,ES,0,Unknown,October,Friday,West,Low
10/8/2010,Carlsbad,California,suburban,ES,0,2,October,Friday,West,Low
10/25/2010,Selma,Alabama,suburban,ES,0,Unknown,October,Monday,South,Low
11/29/2010,Marinette,Wisconsin,suburban,HS,0,Unknown,November,Monday,Midwest,Low
11/29/2010,Marinette,Wisconsin,rural,HS,1,0,November,Monday,Midwest,Low
12/6/2010,Aurora,Colorado,suburban,HS,0,1,December,Monday,West,Low
1/5/2011,Omaha,Nebraska,urban,HS,1,Unknown,January,Wednesday,Midwest,Low
1/5/2011,Omaha,Nebraska,urban,HS,2,2,January,Wednesday,Midwest,Medium
1/18/2011,Los Angeles,California,urban,HS,0,Unknown,January,Tuesday,West,Low
2/2/2011,Placerville,California,suburban,ES,1,Unknown,February,Wednesday,West,Low
2/14/2011,Murfreesboro,Tennessee,urban,C,0,Unknown,February,Monday,South,Low
2/23/2011,Los Angeles,California,urban,C,1,Unknown,February,Wednesday,West,Low
3/25/2011,Martinsville,Indiana,suburban,MS,0,Unknown,March,Friday,Midwest,Low
3/25/2011,Martinsville,Indiana,rural,MS,0,1,March,Friday,Midwest,Low
3/31/2011,Houston,Texas,urban,HS,1,Unknown,March,Thursday,South,Low
3/31/2011,Houston,Texas,urban,HS,1,5,March,Thursday,South,High
4/6/2011,Opelika,Alabama,suburban,C,1,Unknown,April,Wednesday,South,Low
4/13/2011,Apopka,Florida,suburban,HS,0,Unknown,April,Wednesday,South,Low
4/19/2011,Houston,Texas,urban,ES,0,Unknown,April,Tuesday,South,Low
5/23/2011,Pearl City,Hawaii,suburban,MS,0,Unknown,May,Monday,West,Low
5/23/2011,Pearl City,Hawaii,suburban,MS,0,1,May,Monday,West,Low
8/26/2011,Harper Woods,Michigan,suburban,HS,0,Unknown,August,Friday,Midwest,Low
10/24/2011,Fayetteville,North Carolina,urban,HS,0,Unknown,October,Monday,South,Low
10/24/2011,Fayetteville,North Carolina,urban,HS,0,1,October,Monday,South,Low
11/15/2011,Berkeley,California,urban,C,0,Unknown,November,Tuesday,West,Low
12/8/2011,Blacksburg,Virginia,urban,C,1,Unknown,December,Thursday,South,Low
12/8/2011,Blacksburg,Virginia,urban,C,2,0,December,Thursday,South,Low
12/9/2011,Edinburg,Texas,urban,MS,0,Unknown,December,Friday,South,Low
12/9/2011,Edinburg,Texas,urban,MS,0,2,December,Friday,South,Low
1/4/2012,Brownsville,Texas,urban,MS,0,Unknown,January,Wednesday,South,Low
1/10/2012,Houston,Texas,urban,HS,0,Unknown,January,Tuesday,South,Low
1/10/2012,Houston,Texas,urban,HS,0,1,January,Tuesday,South,Low
2/10/2012,Walpole,New Hampshire,suburban,ES,0,Unknown,February,Friday,Northeast,Low
2/22/2012,Bremerton,Washington,urban,ES,0,Unknown,February,Wednesday,West,Low
2/27/2012,Chardon,Ohio,suburban,HS,3,Unknown,February,Monday,Midwest,Medium
2/27/2012,Chardon,Ohio,rural,HS,3,3,February,Monday,Midwest,High
3/6/2012,Jacksonville,Florida,urban,HS,1,Unknown,March,Tuesday,South,Low
3/6/2012,Jacksonville,Florida,urban,HS,2,0,March,Tuesday,South,Low
3/24/2012,Starkville,Mississippi,suburban,C,1,Unknown,March,Saturday,South,Low
4/2/2012,Oakland,California,urban,C,7,Unknown,April,Monday,West,High
4/2/2012,Oakland,California,urban,C,7,3,April,Monday,West,High
5/26/2012,Chapel Hill,North Carolina,urban,ES,1,Unknown,May,Saturday,South,Low
8/16/2012,Memphis,Tennessee,urban,HS,0,Unknown,August,Thursday,South,Low
8/16/2012,Memphis,Tennessee,urban,HS,0,2,August,Tuesday,South,Low
8/27/2012,Perry Hall,Maryland,suburban,HS,0,Unknown,August,Sunday,South,Low
8/27/2012,Perry Hall,Maryland,suburban,HS,0,1,August,Sunday,South,Low
9/7/2012,Normal,Illinois,urban,HS,0,Unknown,September,Tuesday,Midwest,Low
9/7/2012,Normal,Illinois,suburban,HS,0,0,January,Tuesday,Midwest,Low
9/12/2012,Baltimore,Maryland,urban,C,0,Unknown,February,Wednesday,South,Low
10/6/2012,Mobile,Alabama,urban,C,1,0,April,Tuesday,South,Low
10/19/2012,Chicago,Illinois,urban,HS,1,0,April,Tuesday,Midwest,Low
10/31/2012,Los Angeles,California,urban,C,0,Unknown,September,Wednesday,West,Low
10/31/2012,Los Angeles,California,urban,C,0,4,September,Wednesday,West,Medium
11/30/2012,Baltimore,Maryland,urban,C,0,Unknown,October,Tuesday,South,Low
12/14/2012,Newtown,Connecticut,suburban,ES,27,Unknown,November,Friday,Northeast,High
12/14/2012,Newtown,Connecticut,suburban,ES,28,2,November,Friday,Northeast,High
1/7/2013,Fort Myers,Florida,urban,ES,1,Unknown,November,Thursday,South,Low
1/7/2013,Fort Myers,Florida,urban,HS,1,0,November,Monday,South,Low
1/10/2013,Taft,California,suburban,HS,0,Unknown,November,Monday,West,Low
1/10/2013,Taft,California,rural,HS,0,2,December,Thursday,West,Low
1/12/2013,Detroit,Michigan,urban,HS,0,1,January,Wednesday,Midwest,Low
1/15/2013,Hazard,Kentucky,suburban,C,3,Unknown,February,Wednesday,South,Medium
1/15/2013,St. Louis,Missouri,urban,C,0,Unknown,February,Wednesday,Midwest,Low
1/15/2013,St. Louis,Missouri,urban,C,0,2,May,Friday,Midwest,Low
1/15/2013,Hazard,Kentucky,rural,C,3,0,May,Friday,South,Medium
1/16/2013,Chicago,Illinois,urban,C,0,Unknown,May,Thursday,Midwest,Low
1/16/2013,Chicago,Illinois,urban,C,1,0,September,Friday,Midwest,Low
1/22/2013,Houston,Texas,urban,C,0,Unknown,October,Monday,South,Low
1/22/2013,Houston,Texas,urban,C,0,3,October,Monday,South,Medium
1/31/2013,Phoenix,Arizona,urban,HS,0,Unknown,October,Monday,West,Low
1/31/2013,Atlanta,Georgia,urban,MS,0,Unknown,November,Wednesday,South,Low
1/31/2013,Phoenix,Arizona,urban,HS,0,0,November,Tuesday,West,Low
1/31/2013,Atlanta,Georgia,urban,MS,0,2,November,Friday,South,Low
3/18/2013,Orlando,Florida,urban,C,1,Unknown,November,Monday,South,Low
3/18/2013,Orlando,Florida,urban,C,1,0,November,Friday,South,Low
4/12/2013,Christiansburg,Virginia,suburban,C,0,Unknown,November,Monday,South,Low
4/12/2013,Dublin,Virginia,rural,C,0,2,December,Thursday,South,Low
4/16/2013,Grambling,Louisiana,suburban,C,0,Unknown,December,Monday,South,Low
4/16/2013,Grambling,Louisiana,rural,C,0,3,December,Monday,South,Medium
4/18/2013,Cambridge,Massachusetts,urban,C,2,Unknown,January,Wednesday,Northeast,Low
4/18/2013,Cambridge,Massachusetts,urban,C,2,1,January,Friday,Northeast,Medium
5/14/2013,Birmingham,Alabama,urban,MS,0,Unknown,January,Tuesday,South,Low
5/14/2013,Birmingham,Alabama,urban,MS,0,0,January,Monday,South,Low
6/7/2013,Santa Monica,California,urban,C,6,Unknown,January,Monday,West,High
6/7/2013,Santa Monica,California,urban,C,6,4,January,Thursday,West,High
6/20/2013,West Palm Beach,Florida,urban,HS,2,Unknown,February,Monday,South,Low
8/20/2013,Decatur,Georgia,suburban,ES,0,Unknown,February,Monday,South,Low
8/20/2013,Decatur,Georgia,urban,HS,0,0,February,Thursday,South,Low
8/23/2013,Sardis,Mississippi,rural,HS,1,Unknown,February,Monday,South,Low
8/23/2013,Sardis,Mississippi,rural,HS,1,2,February,Monday,South,Medium
8/30/2013,Winston-Salem,North Carolina,urban,HS,0,Unknown,February,Thursday,South,Low
8/30/2013,Winston-Salem,North Carolina,urban,HS,0,1,February,Monday,South,Low
10/4/2013,Pine Hills,Florida,urban,HS,0,Unknown,February,Monday,South,Low
10/4/2013,Pine Hills,Florida,suburban,HS,0,2,February,Friday,South,Low
10/21/2013,Sparks,Nevada,urban,MS,2,Unknown,March,Thursday,West,Low
10/21/2013,Sparks,Nevada,urban,MS,2,2,March,Thursday,West,Medium
11/2/2013,Greensboro,North Carolina,urban,C,0,Unknown,April,Saturday,South,Low
11/2/2013,Greensboro,North Carolina,urban,C,0,1,April,Wednesday,South,Low
11/3/2013,Lithonia,Georgia,rural,HS,0,Unknown,April,Thursday,South,Low
11/3/2013,Lithonia,Georgia,urban,HS,0,2,April,Thursday,South,Low
11/13/2013,Pittsburgh,Pennsylvania,urban,HS,0,Unknown,April,Friday,Northeast,Low
11/13/2013,Pittsburgh,Pennsylvania,urban,HS,0,3,April,Monday,Northeast,Medium
12/4/2013,Winter Garden,Florida,suburban,HS,0,Unknown,May,Friday,South,Low
12/4/2013,Winter Garden,Florida,suburban,HS,0,1,May,Monday,South,Low
12/13/2013,Centennial,Colorado,suburban,HS,2,Unknown,May,Monday,West,Low
12/13/2013,Centennial,Colorado,suburban,HS,2,0,May,Thursday,West,Low
12/19/2013,Fresno,California,urban,HS,0,Unknown,July,Thursday,West,Low
12/19/2013,Fresno,California,urban,HS,0,1,August,Tuesday,West,Low
1/9/2014,Jackson,Tennessee,rural,HS,0,1,September,Thursday,South,Low
1/13/2014,New Haven,Connecticut,urban,HS,0,1,September,Friday,Northeast,Low
1/14/2014,Roswell,New Mexico,rural,MS,0,3,September,Saturday,West,Medium
1/17/2014,Philadelphia,Pennsylvania,urban,HS,0,2,October,Tuesday,Northeast,Low
1/20/2014,Chester,Pennsylvania,urban,C,0,1,October,Thursday,Northeast,Low
1/21/2014,West Lafayette,Indiana,urban,C,1,0,November,Monday,Midwest,Low
1/24/2014,Orangeburg,South Carolina,rural,C,1,0,November,Thursday,South,Low
1/25/2014,Los Angeles,California,urban,C,1,0,November,Thursday,West,Low
1/27/2014,Carbondale,Illinois,rural,HS,0,1,November,Thursday,Midwest,Low
1/28/2014,Nashville,Tennessee,urban,C,0,1,November,Friday,South,Low
1/30/2014,Palm Bay,Florida,suburban,C,0,1,November,Monday,South,Low
1/31/2014,Des Moines,Iowa,urban,HS,0,1,December,Wednesday,Midwest,Low
2/10/2014,Salisbury,North Carolina,suburban,HS,0,1,December,Wednesday,South,Low
2/10/2014,Lyndhurst,Ohio,suburban,HS,0,0,December,Wednesday,Midwest,Low
2/12/2014,Los Angeles,California,urban,C,0,1,December,Friday,West,Low
2/22/2014,Augusta,Georgia,urban,C,0,1,January,Thursday,South,Low
3/12/2014,Miami,Florida,urban,ES,1,0,January,Thursday,South,Low
3/25/2014,College Park,Georgia,urban,HS,0,0,January,Monday,South,Low
4/9/2014,Greenville,North Carolina,urban,HS,0,0,January,Wednesday,South,Low
4/11/2014,Detroit,Michigan,urban,HS,1,0,January,Monday,Midwest,Low
5/4/2014,Augusta,Georgia,urban,C,0,1,January,Monday,South,Low
5/5/2014,Augusta,Georgia,urban,C,0,1,February,Tuesday,South,Low
5/8/2014,Lawrenceville,Georgia,suburban,C,0,1,February,Monday,South,Low
5/14/2014,Richmond,California,urban,HS,0,1,February,Friday,West,Low
6/5/2014,Seattle,Washington,urban,C,1,2,March,Tuesday,West,Medium
6/10/2014,Troutdale,Oregon,suburban,HS,2,1,March,Tuesday,West,Medium
9/9/2014,Miami,Florida,urban,HS,0,1,March,Tuesday,South,Low
9/27/2014,Terre Haute,Indiana,urban,C,0,1,March,Tuesday,Midwest,Low
9/30/2014,Albemarle,North Carolina,rural,HS,0,1,March,Wednesday,South,Low
9/30/2014,Louisville,Kentucky,urban,HS,0,1,March,Friday,South,Low
10/3/2014,Fairburn,Georgia,suburban,HS,1,0,April,Tuesday,South,Low
10/24/2014,Marysville,Washington,suburban,HS,5,1,April,Tuesday,West,High
11/20/2014,Tallahassee,Florida,urban,C,1,3,April,Wednesday,South,Medium
11/20/2014,Miami,Florida,urban,HS,1,1,April,Thursday,South,Low
12/5/2014,Claremore,Oklahoma,rural,C,1,0,April,Thursday,South,Low
12/12/2014,Portland,Oregon,urban,HS,0,4,May,Monday,West,Medium
1/15/2015,Milwaukee,Wisconsin,urban,HS,0,3,May,Wednesday,Midwest,Medium
1/16/2015,Ocala,Florida,suburban,HS,0,2,July,Monday,South,Low
2/4/2015,Frederick,Maryland,suburban,HS,0,2,September,Wednesday,South,Low
2/14/2015,Merced,California,suburban,MS,1,0,October,Wednesday,West,Low
2/23/2015,Daytona Beach,Florida,urban,C,0,3,October,Wednesday,South,Medium
3/30/2015,University City,Missouri,urban,ES,0,1,October,Monday,Midwest,Low
4/13/2015,Goldsboro,North Carolina,rural,C,1,0,November,Saturday,South,Low
4/16/2015,Paradis,Louisiana,rural,MS,0,1,November,Monday,South,Low
4/27/2015,Lacey,Washington,suburban,HS,0,0,November,Monday,West,Low
5/12/2015,Jacksonville,Florida,urban,HS,0,2,November,Tuesday,South,Low
5/24/2015,Flint,Michigan,urban,HS,0,7,December,Wednesday,Midwest,High
8/27/2015,Savannah,Georgia,urban,C,1,0,January,Thursday,South,Low
9/3/2015,Sacramento,California,urban,C,1,2,January,Tuesday,West,Medium
9/14/2015,Cleveland,Mississippi,rural,C,2,0,January,Thursday,South,Low
9/30/2015,Harrisburg,South Dakota,rural,HS,0,1,January,Thursday,Midwest,Low
10/1/2015,Roseburg,Oregon,rural,C,10,9,January,Monday,West,High
10/9/2015,Flagstaff,Arizona,urban,C,1,3,January,Thursday,West,Medium
10/9/2015,Houston,Texas,urban,C,1,1,February,Thursday,South,Low
10/22/2015,Nashville,Tennessee,urban,C,1,3,August,Tuesday,South,Medium
11/1/2015,Winston-Salem,North Carolina,urban,C,1,1,September,Tuesday,South,Low
11/20/2015,North Las Vegas,Nevada,urban,HS,1,0,September,Thursday,West,Low
1/22/2016,Indianapolis,Indiana,urban,HS,0,1,September,Friday,Midwest,Low
1/29/2016,Philadelphia,Pennsylvania,urban,HS,0,0,September,Friday,Northeast,Low
2/9/2016,Muskegon Heights,Michigan,urban,HS,0,4,October,Thursday,Midwest,Medium
2/12/2016,Glendale,Arizona,suburban,HS,2,0,October,Thursday,West,Low
2/29/2016,Middletown,Ohio,suburban,HS,0,4,November,Wednesday,Midwest,Medium
4/23/2016,Antigo,Wisconsin,rural,HS,1,2,November,Wednesday,Midwest,Medium
6/1/2016,Los Angeles,California,urban,C,2,0,November,Tuesday,West,Low
6/8/2016,Dorchester,Massachusetts,urban,HS,1,3,January,Friday,Northeast,Medium
9/6/2016,Cedar Rapids,IA,urban,HS,1,0,January,Friday,Unknown,Low
9/9/2016,Alpine,Texas,rural,HS,1,2,January,Friday,South,Medium
9/28/2016,Townville,South Carolina,rural,ES,2,2,February,Friday,South,Medium
10/11/2016,Mobile,Alabama,urban,HS,0,1,February,Friday,South,Low
10/13/2016,Columbus,Ohio,urban,HS,0,2,February,Thursday,Midwest,Low
10/18/2016,San Francisco,California,urban,HS,0,4,February,Thursday,West,Medium
10/25/2016,Sandy,Utah,suburban,MS,0,1,March,Monday,West,Low
12/1/2016,Bountiful,Utah,suburban,MS,0,0,April,Thursday,West,Low
1/20/2017,West Liberty,Ohio,rural,HS,0,1,June,Tuesday,Midwest,Low
1/20/2017,Seattle,Washington,urban,C,0,1,August,Thursday,West,Low
3/21/2017,King City,California,rural,HS,0,1,August,Thursday,West,Low
4/10/2017,San Bernardino,California,urban,ES,3,1,August,Monday,West,Medium
5/4/2017,Irving,Texas,suburban,C,2,0,September,Tuesday,South,Low
9/13/2017,Rockford,Washington,rural,HS,1,3,September,Tuesday,West,Medium
9/20/2017,Mattoon,Illinois,rural,HS,0,1,September,Wednesday,Midwest,Low
11/14/2017,Rancho Tehama Reserve,California,rural,ES,6,18,September,Wednesday,West,High
12/7/2017,Aztec,New Mexico,rural,HS,3,0,October,Wednesday,West,Medium
1/9/2018,Forest City,Iowa,rural,HS,0,0,October,Friday,Midwest,Low
1/20/2018,Winston-Salem,North Carolina,urban,C,1,0,October,Wednesday,South,Low
1/22/2018,Italy,Texas,rural,HS,0,1,October,Sunday,South,Low
1/22/2018,New Orleans,Louisiana,urban,HS,0,1,October,Wednesday,South,Low
1/23/2018,Marshall County,Kentucky,rural,HS,2,18,November,Wednesday,South,High
2/1/2018,Los Angeles,California,urban,MS,0,5,January,Saturday,West,Medium
2/14/2018,Parkland,Florida,suburban,HS,17,14,January,Monday,South,High
3/2/2018,Mount Pleasant,Michigan,suburban,C,2,0,January,Monday,Midwest,Low
3/7/2018,Birmingham,Alabama,urban,HS,1,2,January,Friday,South,Medium
3/14/2018,Birmingham,Alabama,urban,C,2,1,February,Wednesday,South,Medium
3/20/2018,Great Mills,Maryland,suburban,HS,2,1,February,Wednesday,South,Medium
4/20/2018,Ocala,Florida,suburban,HS,0,1,February,Thursday,South,Low
5/11/2018,Palmdale,California,urban,HS,0,1,March,Tuesday,West,Low
